,image,label
6826,correct_mask/01891_Mask.jpg,correct_mask
750,not_mask/02265.jpg,not_mask
11056,incorrect_mask/aug_116.jpg,incorrect_mask
12167,incorrect_mask/00784_Mask_Mouth_Chin.jpg,incorrect_mask
12200,incorrect_mask/03139_Mask_Mouth_Chin.jpg,incorrect_mask
3746,not_mask/03455.jpg,not_mask
1839,not_mask/01371.jpg,not_mask
5169,correct_mask/00557_Mask.jpg,correct_mask
1275,not_mask/00813.jpg,not_mask
13080,incorrect_mask/04846_Mask_Mouth_Chin.jpg,incorrect_mask
10494,incorrect_mask/01419_Mask_Mouth_Chin.jpg,incorrect_mask
5667,correct_mask/00256_Mask.jpg,correct_mask
7784,correct_mask/00754_Mask.jpg,correct_mask
3379,not_mask/00230.jpg,not_mask
12174,incorrect_mask/03324_Mask_Mouth_Chin.jpg,incorrect_mask
3031,not_mask/04723.jpg,not_mask
2264,not_mask/04318.jpg,not_mask
9745,incorrect_mask/03559_Mask_Mouth_Chin.jpg,incorrect_mask
14266,incorrect_mask/03316_Mask_Mouth_Chin.jpg,incorrect_mask
10439,incorrect_mask/aug_165.jpg,incorrect_mask
6501,correct_mask/04379_Mask.jpg,correct_mask
9152,correct_mask/02840_Mask.jpg,correct_mask
1369,not_mask/00255.jpg,not_mask
740,not_mask/03099.jpg,not_mask
3680,not_mask/03029.jpg,not_mask
3550,not_mask/02244.jpg,not_mask
1188,not_mask/01695.jpg,not_mask
13153,incorrect_mask/incorrect-mask-28.jpg,incorrect_mask
5566,correct_mask/02183_Mask.jpg,correct_mask
1570,not_mask/02466.jpg,not_mask
9209,correct_mask/01923_Mask.jpg,correct_mask
12719,incorrect_mask/incorrect-mask-53.jpg,incorrect_mask
2527,not_mask/00575.jpg,not_mask
2127,not_mask/01403.jpg,not_mask
9849,incorrect_mask/00587_Mask_Mouth_Chin.jpg,incorrect_mask
2764,not_mask/00461.jpg,not_mask
6803,correct_mask/00342_Mask.jpg,correct_mask
4791,not_mask/02515.jpg,not_mask
4807,not_mask/03952.jpg,not_mask
7963,correct_mask/correct_mask_000038.jpg,correct_mask
5768,correct_mask/correct_mask_001135.jpg,correct_mask
11719,incorrect_mask/aug_3.jpg,incorrect_mask
1981,not_mask/03186.jpg,not_mask
8013,correct_mask/03094_Mask.jpg,correct_mask
11675,incorrect_mask/aug_504.jpg,incorrect_mask
10384,incorrect_mask/03526_Mask_Mouth_Chin.jpg,incorrect_mask
3233,not_mask/01056.jpg,not_mask
9735,incorrect_mask/03676_Mask_Mouth_Chin.jpg,incorrect_mask
2057,not_mask/02968.jpg,not_mask
4738,not_mask/03019.jpg,not_mask
6319,correct_mask/02205_Mask.jpg,correct_mask
12574,incorrect_mask/aug_612.jpg,incorrect_mask
14361,incorrect_mask/02117_Mask_Mouth_Chin.jpg,incorrect_mask
11448,incorrect_mask/aug_254.jpg,incorrect_mask
8774,correct_mask/02436_Mask.jpg,correct_mask
7474,correct_mask/correct_mask_002077.jpg,correct_mask
7795,correct_mask/00363_Mask.jpg,correct_mask
10364,incorrect_mask/03289_Mask_Mouth_Chin.jpg,incorrect_mask
7231,correct_mask/03457_Mask.jpg,correct_mask
10392,incorrect_mask/01803_Mask_Mouth_Chin.jpg,incorrect_mask
4952,not_mask/03688.jpg,not_mask
11598,incorrect_mask/aug_211.jpg,incorrect_mask
1710,not_mask/01181.jpg,not_mask
4176,not_mask/00478.jpg,not_mask
6025,correct_mask/03907_Mask.jpg,correct_mask
3571,not_mask/00225.jpg,not_mask
562,not_mask/00049.jpg,not_mask
5333,correct_mask/correct_mask_000344.jpg,correct_mask
4024,not_mask/01654.jpg,not_mask
640,not_mask/01397.jpg,not_mask
1669,not_mask/02134.jpg,not_mask
3000,not_mask/01746.jpg,not_mask
7012,correct_mask/02706_Mask.jpg,correct_mask
13097,incorrect_mask/01064_Mask_Mouth_Chin.jpg,incorrect_mask
7496,correct_mask/03843_Mask.jpg,correct_mask
2407,not_mask/00578.jpg,not_mask
12292,incorrect_mask/03915_Mask_Mouth_Chin.jpg,incorrect_mask
7205,correct_mask/02841_Mask.jpg,correct_mask
12793,incorrect_mask/02015_Mask_Mouth_Chin.jpg,incorrect_mask
4013,not_mask/02276.jpg,not_mask
14443,incorrect_mask/03463_Mask_Mouth_Chin.jpg,incorrect_mask
3501,not_mask/04933.jpg,not_mask
2910,not_mask/01514.jpg,not_mask
13810,incorrect_mask/01616_Mask_Mouth_Chin.jpg,incorrect_mask
9727,incorrect_mask/00520_Mask_Mouth_Chin.jpg,incorrect_mask
11844,incorrect_mask/aug_660.jpg,incorrect_mask
4536,not_mask/02136.jpg,not_mask
10496,incorrect_mask/04906_Mask_Chin.jpg,incorrect_mask
4903,not_mask/03109.jpg,not_mask
2928,not_mask/00170.jpg,not_mask
7410,correct_mask/03393_Mask.jpg,correct_mask
3101,not_mask/04436.jpg,not_mask
180,not_mask/03782.jpg,not_mask
10425,incorrect_mask/01461_Mask_Mouth_Chin.jpg,incorrect_mask
4359,not_mask/00717.jpg,not_mask
2218,not_mask/01704.jpg,not_mask
5391,correct_mask/01764_Mask.jpg,correct_mask
1955,not_mask/00901.jpg,not_mask
1057,not_mask/02551.jpg,not_mask
4561,not_mask/00667.jpg,not_mask
5318,correct_mask/04861_Mask.jpg,correct_mask
4128,not_mask/03150.jpg,not_mask
1399,not_mask/00021.jpg,not_mask
9778,incorrect_mask/04350_Mask_Mouth_Chin.jpg,incorrect_mask
12501,incorrect_mask/04742_Mask_Chin.jpg,incorrect_mask
10530,incorrect_mask/01735_Mask_Nose_Mouth.jpg,incorrect_mask
6472,correct_mask/correct_mask_001730.jpg,correct_mask
9216,correct_mask/00950_Mask.jpg,correct_mask
13266,incorrect_mask/02226_Mask_Mouth_Chin.jpg,incorrect_mask
9112,correct_mask/03226_Mask.jpg,correct_mask
6849,correct_mask/01309_Mask.jpg,correct_mask
11520,incorrect_mask/02515_Mask_Mouth_Chin.jpg,incorrect_mask
1210,not_mask/04454.jpg,not_mask
3375,not_mask/03014.jpg,not_mask
11848,incorrect_mask/03893_Mask_Mouth_Chin.jpg,incorrect_mask
2238,not_mask/02713.jpg,not_mask
10542,incorrect_mask/aug_509.jpg,incorrect_mask
11119,incorrect_mask/00511_Mask_Mouth_Chin.jpg,incorrect_mask
